Table 1
اون لاين,زيارة منزلية,العيادة,الكود,اسم مقدم الخدمة,المحافظة,المنطقة,الخدمة,الدرجة العلمية,التخصص,الفروع,العنوان,تليفون1,واتساب,تليفون2,مواعيد اون لاين,مواعيد العيادة,سعر الكشف,نسبة خصم كشف الاون لاين,نسبة خصم كشف العيادة,الزيارة المنزلية,الاسعار,نسبة خصم الاسعر,الاتعاب الادارية,تاريخ التنشيط,الرقم الخاص,مسؤول التعاقد,التليفون,الموقع,
No,Home care,Offline,1-1,مركز النيل للاشعة والتحاليل - عرب سكان,الغربية,طنطا,مركز اشعة وتحاليل,اشعة وتحاليل,اشعة وتحاليل,فرع,شارع الدكتور نجاتي من شارع البحر - امام معهد اورام طنطا,19657,,,,,,,,,اسعار خاصة,0.25,0.1,6/24/24,,دكتور كريم,01125620601,,
No,Home care,Offline,1-1,مركز النيل للاشعة والتحاليل - عرب سكان,الدقهلية,كفر الشيخ,مركز اشعة وتحاليل,اشعة,اشعة,فرع,30شارع الجمهورية أمام مستشفي الرمد,19657,,,,,,,,,اسعار خاصة,0.25,0.1,6/24/24,,دكتور كريم,01125620601,,
No,Home care,Offline,1-1,مركز النيل للاشعة والتحاليل,القاهرة,وسط البلد,مركز اشعة وتحاليل,اشعة وتحاليل,اشعة وتحاليل,فرع,8شارع هدى شعراوي – تقاطع ش مظلوم - باب اللوق,19657,,,,,,,,,اسعار خاصة,0.25,0.1,6/24/24,,دكتور كريم,01125620601,,
No,Home care,Offline,1-1,مركز النيل للاشعة والتحاليل,القاهرة,مصر الجديدة,مركز اشعة وتحاليل,اشعة وتحاليل,اشعة وتحاليل,فرع,8شارع احمد الرشيدي من نبيل الوقاد - أرض الجولف,19657,,,,,,,,,اسعار خاصة,0.25,0.1,6/24/24,,دكتور كريم,01125620601,,
No,Home care,Offline,1-1,مركز النيل للاشعة والتحاليل,القاهرة,مدينة نصر,مركز اشعة وتحاليل,اشعة وتحاليل,اشعة وتحاليل,فرع,45شارع عبد الرازق السنهورى متفرع من مكرم عبيد,19657,,,,,,,,,اسعار خاصة,0.25,0.1,6/24/24,,دكتور كريم,01125620601,,
No,Home care,Offline,1-1,مركز النيل للاشعة والتحاليل,القاهرة,شبرا,مركز اشعة وتحاليل,اشعة وتحاليل,اشعة وتحاليل,فرع,151شارع شبرا بجوار مسجد الخازندار وامام سنترال شبرا,19657,,,,,,,,,اسعار خاصة,0.25,0.1,6/24/24,,دكتور كريم,01125620601,,
No,Home care,Offline,1-1,مركز النيل للاشعة والتحاليل,القاهرة,روكسى,مركز اشعة وتحاليل,تحاليل,تحاليل,فرع,43 الخليفة المأمون - الدور 3- فوق البنك الأهلي اليوناني - روكسى,19657,,,,,,,,,اسعار خاصة,0.25,0.1,6/24/24,,دكتور كريم,01125620601,,
No,Home care,Offline,1-1,مركز النيل للاشعة والتحاليل,القاهرة,المعادى,مركز اشعة وتحاليل,تحاليل,تحاليل,فرع,عمارة ال سي واى كيكي- الدور الأول - تقسيم اللاسلكى - شارع النصر - المعادي,19657,,,,,,,,,اسعار خاصة,0.25,0.1,6/24/24,,دكتور كريم,01125620601,,
No,Home care,Offline,1-1,مركز النيل للاشعة والتحاليل,القاهرة,التجمع الخامس,مركز اشعة وتحاليل,اشعة وتحاليل,اشعة وتحاليل,فرع,شارع التسعين داون تاون مول - المبنى الإدارى الدور 2 مبنى S2B,19657,,,,,,,,,اسعار خاصة,0.25,0.1,6/24/24,,دكتور كريم,01125620601,,
No,Home care,Offline,1-1,مركز النيل للاشعة والتحاليل,الجيزة,فيصل,مركز اشعة وتحاليل,تحاليل,تحاليل,فرع,"379شارع الملك فيصل الرئيسي - الدور الاول -
 ناصيه شارع حسني متولي - محطة الاريزونا",19657,,,,,,,,,اسعار خاصة,0.25,0.1,6/24/24,,دكتور كريم,01125620601,,
