Table 1
اون لاين,زيارة منزلية,العيادة,الكود,اسم مقدم الخدمة,المحافظة,المنطقة,الخدمة,الدرجة العلمية,التخصص,الفروع,العنوان,تليفون1,واتساب,تليفون2,مواعيد اون لاين,مواعيد العيادة,سعر الكشف,نسبة خصم كشف الاون لاين,نسبة خصم كشف العيادة,الزيارة المنزلية,الاسعار,نسبة خصم الاسعر,الاتعاب الادارية,تاريخ التنشيط,الرقم الخاص,مسؤول التعاقد,التليفون,الموقع,
No,No,Offline,1-1,مركز مناظير وجراحات الانف والاذن والحنجرة ENT Clinic,القاهرة,مدينة الشروق,مركز متخصص,الانف والاذن والحنجرة,الانف والاذن والحنجرة,فرع,المول التجاري – بانوراما مول الشروق – مبني رقم 5 – الدور G – شقة 10 – اعلي سوبر ماركت الاسرة السعيدة و بجانب صيديلة د/احمد عبد الفتاح,0226307997,01009110710 ,01278687179,,,650,,0.4,,اسعار خاصة,0.2,0.1,8/5/24,,احمد صلاح,01200900361,,
No,No,Offline,1-1,مركز مناظير وجراحات الانف والاذن والحنجرة ENT Clinic,القاهرة,المعادى,مركز متخصص,الانف والاذن والحنجرة,الانف والاذن والحنجرة,فرع,شارع زهراء المعادي الرئيسي - برج ايليت,,01061988484,,,,650,,0.4,,اسعار خاصة,0.2,0.1,8/5/24,,احمد صلاح,01200900361,,
No,No,Offline,1-1,مركز مناظير وجراحات الانف والاذن والحنجرة ENT Clinic,القاهرة,التجمع الخامس,مركز متخصص,الانف والاذن والحنجرة,الانف والاذن والحنجرة,فرع,الحى الاول المنطقة الرابعة - شارع 36 مول طبى ميديكال سنتر MC ,0225603503 ,012007645640,01015336667,,,650,,0.4,,اسعار خاصة,0.2,0.1,8/5/24,,احمد صلاح,01200900361,,
No,No,Offline,1-1,مركز مناظير وجراحات الانف والاذن والحنجرة ENT Clinic,الجيزة,المهندسين,مركز متخصص,الانف والاذن والحنجرة,الانف والاذن والحنجرة,فرع,56شارع سوريا - المهندسين – الجيزة,0237628845,01011840058,,,,650,,0.4,,اسعار خاصة,0.2,0.1,8/5/24,,احمد صلاح,01200900361,,
No,No,Offline,1-1,مركز مناظير وجراحات الانف والاذن والحنجرة ENT Clinic,الجيزة,اكتوبر,مركز متخصص,الانف والاذن والحنجرة,الانف والاذن والحنجرة,فرع,الحى16- مزار مول - مدخل3- الدور الثانى- مدينة الشيخ زايد,0237958600,01014198168,,,,650,,0.4,,اسعار خاصة,0.2,0.1,8/5/24,,احمد صلاح,01200900361,,
No,No,Offline,1,مركز مناظير وجراحات الانف والاذن والحنجرة ENT Clinic,القاهرة,مدينة نصر,مركز متخصص,الانف والاذن والحنجرة,الانف والاذن والحنجرة,المقر الرئيسى,123ش حسن المأمون مدينة نصر – القاهرة,0223546836,01286383782,01066641224,,,650,,0.4,,اسعار خاصة,0.2,0.1,8/5/24,,احمد صلاح,01200900361,,
No,No,Offline,1-1,مركز لوران الطبى,القاهرة,مصر الجديدة,مركز متخصص,اسنان,اسنان,فرع,16أ عمارات العبور شارع صلاح سالم - هليوبلس,0222600954,01289931839,,,,600,,0.5,,اسعار خاصة,0.15,0.1,8/5/24,,احمد عادل,01278564678,,
No,No,Offline,1-1,مركز لوران الطبى,القاهرة,الرحاب,مركز متخصص,اسنان,اسنان,فرع,ميديكال بارك اليت بوابة خامسة مدينة الرحاب,,01146540133,,,,600,,0.5,,اسعار خاصة,0.15,0.1,8/5/24,,احمد عادل,01278564678,,
No,No,Offline,1-1,مركز لوران الطبى,الجيزة,المهندسين,مركز متخصص,اسنان,اسنان,فرع,78شارع عبد المنعم رياض - المهندسين,,01276243088,,,,600,,0.5,,اسعار خاصة,0.15,0.1,8/5/24,,احمد عادل,01278564678,,
No,No,Offline,1-1,مركز لوران الطبى,الاسكندرية,لوران,مركز متخصص,اسنان,اسنان,فرع,724طريق الحرية - لوران,03 5837013,01154545111,,,,600,,0.5,,اسعار خاصة,0.15,0.1,8/5/24,,احمد عادل,01278564678,,
No,No,Offline,1,مركز لوران الطبى,الاسكندرية,سموحة,مركز متخصص,اسنان,اسنان,المقر الرئيسى,74ابراج السرايا شارع فوزى معاذ - سموحة,03 4268883,01154545222,,,,600,,0.5,,اسعار خاصة,0.15,0.1,8/5/24,,احمد عادل,01278564678,,
No,No,Offline,1-1,مركز دكتور حسام منصور,القاهرة,مصر الجديدة,مركز متخصص,اسنان,اسنان,فرع,38شارع الاهرام روكسى الكوربة - محطة مترو الاهرام ,0224527841,012032100160,,,يوميا من 9 صباحا : 11 مساءً,110,,0.2,,اسعار خاصة,0.2,0.1,8/1/24,,بدرية ابراهيم,01064631536,,
No,No,Offline,1-1,مركز دكتور حسام منصور,القاهرة,مدينة نصر,مركز متخصص,اسنان,اسنان,فرع,ميدان انبى - تقاطع عباس العقاد مع ذاكر حسين ,022756032,01205077255,,,يوميا من 9 صباحا : 11 مساءً,110,,0.2,,اسعار خاصة,0.2,0.1,8/1/24,,بدرية ابراهيم,01064631536,,
No,No,Offline,1-1,مركز دكتور حسام منصور,القاهرة,عزبة النخل,مركز متخصص,اسنان,اسنان,فرع,ميدان محطة مترو عزبة النخل الشرقية ,0224996715,01203210010,,,يوميا من 9 صباحا : 11 مساءً,110,,0.2,,اسعار خاصة,0.2,0.1,8/1/24,,بدرية ابراهيم,01064631536,,
No,No,Offline,1-1,مركز دكتور حسام منصور,القاهرة,رمسيس,مركز متخصص,اسنان,اسنان,فرع,16ميدان رمسيس - عمارة رمسيس مدخل ج الدور السابع,0225782598,01203210030,,,يوميا من 9 صباحا : 11 مساءً,110,,0.2,,اسعار خاصة,0.2,0.1,8/1/24,,بدرية ابراهيم,01064631536,,
No,No,Offline,1-1,مركز دكتور حسام منصور,القاهرة,حلوان,مركز متخصص,اسنان,اسنان,فرع,44ش المراغى تقاطع شارع منصور - ميدان محطة مترو حلوان,0228182901,01205077233,,,يوميا من 9 صباحا : 11 مساءً,110,,0.2,,اسعار خاصة,0.2,0.1,8/1/24,,بدرية ابراهيم,01064631536,,
No,No,Offline,1-1,مركز دكتور حسام منصور,القاهرة,المعادى,مركز متخصص,اسنان,اسنان,فرع,7ش عماره ركن المعادى - ميدان محطة مترو المعادى,0225283965,01205077266,,,يوميا من 9 صباحا : 11 مساءً,110,,0.2,,اسعار خاصة,0.2,0.1,8/1/24,,بدرية ابراهيم,01064631536,,
No,No,Offline,1-1,مركز دكتور حسام منصور,القاهرة,التحرير,مركز متخصص,اسنان,اسنان,فرع,11ميدان التحرير الدور الخامس,0225782597,01203210040,,,يوميا من 9 صباحا : 11 مساءً,110,,0.2,,اسعار خاصة,0.2,0.1,8/1/24,,بدرية ابراهيم,01064631536,,
No,No,Offline,1-1,مركز دكتور حسام منصور,الجيزة,المنيب,مركز متخصص,اسنان,اسنان,فرع,4شارع ترعة الزمر المنيب بالداخل - ميدان محطة مترو المنيب,0223375808,01285095550,,,يوميا من 9 صباحا : 11 مساءً,110,,0.2,,اسعار خاصة,0.2,0.1,8/1/24,,بدرية ابراهيم,01064631536,,
